,user_id,item_id,reviewText,unixReviewTime,rating,text_clean
0,0,0,cute,1515715200,5,cute
1,1,1,"far out, solid, & right on!

good stuffs!",1515715200,5,far solid right good stuff
2,2,2,Fun drafting game.,1515715200,5,fun draft game
3,3,3,"The leg fell off the baby right away.  Otherwise, these are great.  They fit in our doll house.  My kid doesn't honestly play with them much, but I wouldn't blame the toy for that.",1515715200,4,leg fell babi right away otherwis great fit doll hous kid doesnt honestli play much wouldnt blame toy
4,4,4,My daughter loves it!,1515715200,5,daughter love
5,5,5,"Great, great toy! My son love it. High quality,  also you can use different cars, not just from the set.
Love wooden toys. Very detailed station. Highly recommended",1515715200,5,great great toy son love high qualiti also use differ car set love wooden toy detail station highli recommend
6,6,6,My 3 year old loves puzzles. This puzzle is thick and sturdy. My daughter was able to complete this on her own unassisted. Love that it provides multiple opportunities for her to learn. This is a great buy for any toddler!,1515715200,5,3 year old love puzzl puzzl thick sturdi daughter abl complet unassist love provid multipl opportun learn great buy toddler
7,7,7,Cute and good for motor skill development.  Squeak is quite insignificant.,1515715200,4,cute good motor skill develop squeak quit insignific
8,8,8,Arrived quickly and as expected.,1515715200,5,arriv quickli expect
9,9,9,"Smaller than the traditional,  this is a perfect game for travel or to add to a game collection. It can be played almost anywhere with only cards and a dice. The questions bring movie and book together with a need to read and see both to win. Brilliant!",1515715200,5,smaller tradit perfect game travel add game collect play almost anywher card dice question bring movi book togeth need read see win brilliant
10,10,10,"So neat, 4 year old and 8 year old cant get enough of it!!",1515715200,5,neat 4 year old 8 year old cant get enough
11,11,11,Tiny but cute,1515715200,5,tini cute
12,8,12,Well made and works great!,1515715200,5,well made work great
13,12,13,Classic toy that never goes out of style... all you need is imagination and a lot of floor space!,1515715200,5,classic toy never goe style need imagin lot floor space
14,13,14,As described.  Handy.,1515715200,4,describ handi
15,14,15,"The case it self seems nice enough. I got it to store pokemon TCG cards and it fits normal cards well enough but sleeved cards are a snug fit and the velcro dividers that came with it are basically non functional. The type of material for the inside of the case doesn't seem to be the velcro friendly at all so they only semi stay in place, to much pressure on them and they move around. I can get them to stay decently if I press against the side of the case and pull a bit on the divider against the wall of the case to get it ""stuck"" into the material some. Overall seems nice for the price, its a few dollars cheaper the one of another brand I have gotten before and the only quality difference is the dividers really and I can't really fault it for sleeved cards not fitting the best since its specifically labeled as a cards against humanity case with TCG secondary.",1515715200,4,case self seem nice enough got store pokemon tcg card fit normal card well enough sleev card snug fit velcro divid came basic non function type materi insid case doesnt seem velcro friendli semi stay place much pressur move around get stay decent press side case pull bit divid wall case get stuck materi overal seem nice price dollar cheaper one anoth brand gotten qualiti differ divid realli cant realli fault sleev card fit best sinc specif label card human case tcg secondari
16,15,16,Well made,1515715200,5,well made
17,1,17,"far out, solid, & right on!

good stuffs!",1515715200,5,far solid right good stuff
18,16,18,Love everything about it except the fact that the lid doesnt close tight if you hold it from above but its still pretty good! The sounds are not so bad with the famous song they sing.,1515715200,4,love everyth except fact lid doesnt close tight hold still pretti good sound bad famou song sing
19,13,19,Great learning game.,1515715200,4,great learn game
20,11,20,Retuened. Boring,1515715200,1,retuen bore
21,11,21,Over year old and still work grear,1515715200,5,year old still work grear
22,17,22,purchased this game for friends who enjoy nights at home now that they have a baby.  This game is too funny and is often compared to one of our other fav adult games.,1515715200,5,purchas game friend enjoy night home babi game funni often compar one fav adult game
23,11,23,Good for baby to play with boring for toddle tho,1515715200,1,good babi play bore toddl tho
24,18,24,I gave this to the little guy next door for Christmas.  Mama says he loves it.  I makes the cutest noises.,1515715200,5,gave littl guy next door christma mama say love make cutest nois
25,17,25,it leaks :(,1515715200,2,leak
26,19,26,"I bought this for my daughter. She was very excited and so was I. Anyone collecting this stuff has to balance cost, quality and number of items or features. This one was a bargain, great quality, and lots to keep her busy.",1515715200,5,bought daughter excit anyon collect stuff balanc cost qualiti number item featur one bargain great qualiti lot keep busi
27,20,27,Thanks,1515715200,5,thank
28,21,28,My 2 year old cant get enough of this set!,1515715200,5,2 year old cant get enough set
29,22,29,Granddaughter loved it.,1515715200,5,granddaught love
30,5,30,"Very cute set. I purchased child-parent set. When my package arrived one apron was missing.  The seller sent me missing one with no problem.
My little one love and we enjoy to cook together.

Good quality material. It's not nylon,  so will hold some liquid but if it's too much getting wet in a while.
Adjustable neck strap is a good decision.
We love it.",1515715200,5,cute set purchas childpar set packag arriv one apron miss seller sent miss one problem littl one love enjoy cook togeth good qualiti materi nylon hold liquid much get wet adjust neck strap good decis love
31,23,31,"My 21 month old and 4 year old both love this set. I am always surprised by how much they enjoy playing with something relatively simple, like Melissa and Doug Toys, which don't play sounds or have lights or anything but are just simple, well made toys. My 4 year old likes to look at the little checklist and ""read"" the tasks for the day. Both kids like spraying water on the floors and mopping it up with the little cloth or the sponge. The tops come off of the cleaning supplies so they also play with those.

They also received the Melissa and Doug stand up toy that comes with a broom, mop, and soft brush, and they use that alongside this toy. Now if only I could get them cleaning for real!",1515715200,5,21 month old 4 year old love set alway surpris much enjoy play someth rel simpl like melissa doug toy dont play sound light anyth simpl well made toy 4 year old like look littl checklist read task day kid like spray water floor mop littl cloth spong top come clean suppli also play also receiv melissa doug stand toy come broom mop soft brush use alongsid toy could get clean real
32,24,32,good,1515715200,5,good
33,4,33,My daughter love them!!!,1515715200,5,daughter love
34,11,34,Love this brand,1515715200,5,love brand
35,13,35,As described.,1515715200,4,describ
36,4,36,My daughter loves it!,1515715200,5,daughter love
37,25,37,"Great wagon, easy and quick to assemble the few parts that need to be applied locally.
Grandchildren love it.
Improvements:
Not everyone has a garage.  A stowage bag would be nice so that dirty wheels don't bring dirt and debris into the home.  Likewise for the cars carpeted trunk.
A handle extender would be nice as taller folks either hit the back of their ankles or need to pull the wagon while bent over.",1515715200,5,great wagon easi quick assembl part need appli local grandchild love improv everyon garag stowag bag would nice dirti wheel dont bring dirt debri home likewis car carpet trunk handl extend would nice taller folk either hit back ankl need pull wagon bent
38,26,38,as expected - very good quality,1515715200,5,expect good qualiti
39,8,37,Well built and easy to use.,1515715200,5,well built easi use
40,11,39,Cute!,1515715200,5,cute
41,1,40,pretty nice.,1515715200,4,pretti nice
42,12,41,"Great set, easy to assemble!  Perfect gift for your future dairy farmer!",1515715200,5,great set easi assembl perfect gift futur dairi farmer
43,17,42,slightly disappointed in the kit overall.  Gave this as a gift for my nephews and it seems to run out quickly.,1515715200,3,slightli disappoint kit overal gave gift nephew seem run quickli
44,27,43,Blast from the past!!,1515715200,5,blast past
45,11,44,Was ok...Back side pool was small and hard for kids to get to,1515715200,1,okback side pool small hard kid get
46,26,45,Really well made,1515715200,5,realli well made
47,8,46,Good quality and works very well!!  Kids really have fun with it!,1515715200,5,good qualiti work well kid realli fun
48,27,47,Great classic game.,1515715200,5,great classic game
49,28,48,This is the only new Tonka truck that's still worth something. I bought almost every retro Tonka available and they're all junk. At least the bed on this dump truck is all metal and can handle some weight. My daughter was playing with all of her new Tonkas in the front yard the other day. At one point she had this dump truck over flowing with dirt. Just like how I remember playing with them. I just wish I could say the same for the other cranes and tractors.,1515715200,5,new tonka truck that still worth someth bought almost everi retro tonka avail theyr junk least bed dump truck metal handl weight daughter play new tonka front yard day one point dump truck flow dirt like rememb play wish could say crane tractor
50,24,49,loved,1515715200,5,love
51,20,50,Thanks,1515715200,5,thank
52,12,41,"Great set, easy to assemble!  Perfect gift for your future dairy farmer!",1515715200,5,great set easi assembl perfect gift futur dairi farmer
53,11,51,"They have holes in them, so have pitch out after awhile or hot glue hole to prevent mold",1515715200,1,hole pitch awhil hot glue hole prevent mold
54,29,52,goof family game,1515715200,5,goof famili game
55,30,53,"Every semester I buy colored pencils for my small classrooms and this year I had the opportunity to buy this fabulous box of 50 different colors. My students will be thrilled when the classes restart in February (I am from Brazil, so the school year starts in February).",1515715200,5,everi semest buy color pencil small classroom year opportun buy fabul box 50 differ color student thrill class restart februari brazil school year start februari
56,31,54,"My 2 year old, 7 year old and 16 year old, as well as my husband and myself all enjoyed this game in equal measure!  It is surprisingly quiet compared to the one I played as a child, as well as extremely tough! My 2 year old was the recipient of the game and has been pretty rough with it from day one! It has had daily use since Christmas and is still in perfect working condition!  I would recommend this product to anyone!",1515715200,5,2 year old 7 year old 16 year old well husband enjoy game equal measur surprisingli quiet compar one play child well extrem tough 2 year old recipi game pretti rough day one daili use sinc christma still perfect work condit would recommend product anyon
57,11,51,"They have holes in them, so have pitch out after awhile or hot glue hole to prevent mold",1515715200,1,hole pitch awhil hot glue hole prevent mold
58,32,55,As advertised and very useful A+,1515715200,5,advertis use
59,33,56,Great for learning colors and animals and problem solving how to open. My son could successfully open them all by 18m. He had lots of fun with this from 10-24m,1515715200,5,great learn color anim problem solv open son could success open 18m lot fun 1024m
60,27,57,The ORIGINAL.  Great game.,1515715200,5,origin great game
61,4,58,My daughter love it!!!,1515715200,5,daughter love
62,34,59,grandkids love it!,1515715200,5,grandkid love
63,35,60,"My 20 month old loves these.  They are as described, stick well to any magnetic surface and a great size for a toddlers hand.  They come in a nice wooden box but keep in mind the box does not include a cover.  The reason for the 4 star vs. 5 is that ONE out of the 20 pieces was slightly curved causing it to not be able to stick on magnetic surfaces.  Nothing to serious to cause us to return the item.",1515715200,4,20 month old love describ stick well magnet surfac great size toddler hand come nice wooden box keep mind box includ cover reason 4 star v 5 one 20 piec slightli curv caus abl stick magnet surfac noth seriou caus u return item
64,36,61,"Get cheap looking and feeling and smaller than normal cards. So misleading by the description and pictures. Beautiful pictures, but in is mislabeled",1515715200,3,get cheap look feel smaller normal card mislead descript pictur beauti pictur mislabel
65,37,62,Excellent game for even younger kids! Highly recommend!,1515715200,5,excel game even younger kid highli recommend
66,24,63,loved,1515715200,5,love
67,34,64,grandkids love it!,1515715200,5,grandkid love
68,0,65,Birthday gift for a 4 year old and she loved it.  The music had to be turned off as it drove the adults nuts.  But the children all loved it,1515715200,5,birthday gift 4 year old love music turn drove adult nut child love
69,8,66,Very well built and kids love it!,1515715200,5,well built kid love
70,38,67,"Nice doll for any,girls dc superhero collection",1515715200,5,nice doll anygirl dc superhero collect
71,39,68,Great for the kids but it comes off the tub a lot.,1515715200,5,great kid come tub lot
72,38,69,Great doll,1515715200,5,great doll
73,38,70,Nice doll.,1515715200,5,nice doll
74,2,71,Love this game. Play whenever I can.,1515715200,5,love game play whenev
75,34,72,just what I expected,1515715200,5,expect
76,40,73,My 2 year old daughter loved this keyboard.  She also loves the echo effect when singing on the microphone.  The stool is small and low quality but the keyboard is great,1515715200,4,2 year old daughter love keyboard also love echo effect sing microphon stool small low qualiti keyboard great
77,34,74,grandkids love it,1515715200,5,grandkid love
78,38,75,Daughter loves this toy,1515715200,5,daughter love toy
79,17,76,"this product was great for our road trip!  My daughter 2.5, loved putting the animals in different places on the farm and we added animal sounds each time they were placed.  A cute and reusable activity",1515715200,5,product great road trip daughter 25 love put anim differ place farm ad anim sound time place cute reusabl activ
80,41,77,"neat gift, airplane metal like, opens great for boys that love to play with little guys and pretend. excellent quality.",1515715200,5,neat gift airplan metal like open great boy love play littl guy pretend excel qualiti
